conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,73E+18;Tue Dec 12 23:59:50 +0000 2023;0;@ganjarpranowo Terus semangat untuk pak Ganjar dan selalu memberikan kebahagiaan pada masyarakat sekitar yang beliau temui;1,73E+18;;ganjarpranowo;in;Indonesia ;0;0;0;https://twitter.com/a8_adrian/status/1734724776231596235;1,62E+18;a8_adrian
1,73E+18;Tue Dec 12 23:59:44 +0000 2023;0;@NoviBudi78 @aniesbaswedan @ganjarpranowo @prabowo Kasian kamu lagi menghibur diri mungkin pas nonton debat sambil tiduran terus ngimpi ... Tidak melihat fakta yg di lihat...memang benar juga pendukung Prabowo itu pendidikannya rata2 menengah ke bawah kas;1,73E+18;;NoviBudi78;in;;0;0;0;https://twitter.com/AkhmadAlfikri2/status/1734724748830253061;3871060753;AkhmadAlfikri2
1,73E+18;Tue Dec 12 23:59:44 +0000 2023;0;@ganjarpranowo Mantap luar biasa ;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/BangauMartina/status/1734724747718803763;1,58E+18;BangauMartina
1,73E+18;Tue Dec 12 23:59:42 +0000 2023;0;@ganjarpranowo Pemimpin yang bersatu rakyat yang kuat. Pak Ganjar memimpin dengan menyatukan membimbing dan menciptakan kesejahteraan bersama;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/tahrpla/status/1734724740152222090;1,48E+18;tahrpla
1,73E+18;Tue Dec 12 23:59:42 +0000 2023;0;@Indonesia_Pedia @ganjarpranowo Semoga semangat Pak Ganjar dalam memerangi korupsi memicu perubahan besar dalam tatanan kehidupan berbangsa. Teruskan perjuangan yang mulia! #GanjarSikatKorupsi #LanjutGANsemuamurah #LanjutGANsemuakerja;1,73E+18;;Indonesia_Pedia;in;;0;0;0;https://twitter.com/setiankrijaya/status/1734724739216887933;1,71E+18;setiankrijaya
1,73E+18;Tue Dec 12 23:59:41 +0000 2023;0;@bbrrock9876 @griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @skatuu @kopikumantap @RahmatAminuddin Ahh perasaan enggak si;1,73E+18;;bbrrock9876;in;;0;0;0;https://twitter.com/benimulyadi291/status/1734724736062808259;3056184277;benimulyadi291
1,73E+18;Tue Dec 12 23:59:39 +0000 2023;0;@ganjarpranowo Saya yakin kelautan Indonesia akan lebih maju kl pak Ganjar terpilih;1,73E+18;;ganjarpranowo;in;Indonesia;0;0;0;https://twitter.com/abvoIate/status/1734724729787793471;1,41E+18;abvoIate
1,73E+18;Tue Dec 12 23:59:30 +0000 2023;0;@ganjarpranowo Semangat banget lihat pak ganjar yang selalu ramah melayani rakyatnya;1,73E+18;;ganjarpranowo;in;Indonesia;0;1;0;https://twitter.com/mputaku188156/status/1734724688964882563;1,70E+18;mputaku188156
1,73E+18;Tue Dec 12 23:59:29 +0000 2023;0;@Gus_Raharjo @ganjarpranowo Lha yg nmr 2 mau peyuk capa yak?;1,73E+18;;Gus_Raharjo;in;Surakarta, Jawa Tengah;0;0;0;https://twitter.com/andriansetiaa/status/1734724687262003521;8,87E+17;andriansetiaa
1,73E+18;Tue Dec 12 23:59:29 +0000 2023;0;@ganjarpranowo Mohon maaf sblmnya jenengan niku produk gagal Jateng aj msk propinsi termiskin UMR terendah banyak jln2 berlubang kasus Wadas blom ngapain jg melu2 nyapres p Ganjar??? Mundur waeee pak ! BKN mslh menyelaraskan tp lbh dr kepentingan bangsa d;1,73E+18;;ganjarpranowo;in;;0;0;0;https://twitter.com/QodirRajamuddin/status/1734724684904886777;1,60E+18;QodirRajamuddin
